"id","text","category","theme","executor"
"11","Не работает секция с таймером (отсчётом) у автомобильного светофора на перекрёстке улицы Западная, Крупской и 7 Мервинского проезда.","Дороги","Неисправный светофор","Управление благоустройства города"
"12","Из-за повышенного пешеходного потока от ТРЦ Премьер до Центрального Автовокзала на Т-образном перекрёстке у Премьера нет официального пешеходного перехода. Люди переходя дорогу то и дело рискуют свей жизнью в прямом смысле слова. Поэтому необходимо в срочном порядке организовать пешеходный - регулируемый или нерегулируемый (как лучше выйдет), с установкой знаков пешехода со светодиоидными огнями и светоотражателми, использованием разметки и стоп-линии для авто, со знаками ограничения скорости до 20 км/ч (на въезд и выезд с территории ТРЦ Премьер). Просто очень странно, что пешеходная дорожка есть, очень широкая и хорошая, а пешеходника нет. Если есть возможность, его можно обустроить чуть дальше, но для этого нужно делать дополнительные поворотные асфальтовые дорожки.","Дороги","Некачественное содержание наземных/подземных пешеходных переходов","Управление благоустройства города"
"13","В Приокском районе города в одном из крупных парков Рязани - парк Дружбы, полностью отсутствует освещение с 90-ых годов. Необходимо восстановить освещение для удобства гулять вечером.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"14","Считаю необходимым восстановить светофор на улице Октябрьская с пересечением улицы Магистральная для безопасного перехода жителей района с остановок и для прогулок в парке. Необходимость заключается в близости школ, а в 150 метрах оттуда необходимо ликвидировать пешеходный переход (по усмотрению) т.к. фактически там не останавливаются автомобили и сбивали !даже насмерть! людей. Также это немного сдержит водителей от ""гонок"" и от пробки на путепроводе. Заметно снизит аварийность на этом месте, т.к. она здесь происходит каждую неделю! Огромная просьба заменить старый работающий и установить новый, современный секционный светофор и создать пешеходный светофор. PS. Откуда взять ""лишние"" светофоры? На перекрёстке Ленина-Почтовой два светофора работают в холостую, т.к. они повёрнуты в сторону пешеходной зоны. Также вполне логично снять светофоры с перекрёстка Московского и Михайловского шоссе, т.к. они постоянно мигают жёлтым и не используются (хотя установили новые как везде).","Дороги","Неисправный светофор","Управление благоустройства города"
"15","Между пешеходным мостом через р. Трубеж и АЗС отвалился забор. Необходимо восстановить.","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"16","""Из ответа Каплинского Андрея Леонидовича - начальника управления транспорта города Рязани: Предложенный заявителями вариант организации остановочного пункта на ул. Юбилейной в районе жилого дома №1 не соответствует требованиям организации автобусных остановок, определенных ОСТ 218.1.002-2003.
  По результатам обследования установлено, что возможно и целесообразно обустроить остановочный пункт а участке улично-дорожной сети по ул. Крупской в районе жилого дома №3, напротив существующей ООТ ""Школа"".
  Результаты обследования 09.01.2017 с предложениями по обустройству остановки общественного транспорта по ул. Крупской направлены в профильные подразделения администрации города."" 

-- Это ответ от Администрации города, но остановочный комплекс так и не был оборудован с конца 2016-начала 2017 года.","Остановки общественного транспорта","Отсутствие остановок общественного транспорта","Управление благоустройства города"
"17","Из обращения «…   Не менее серьезная проблема связана с отсутствием остановки для маршруток и перехода на повороте с Шереметьевской улицы на Песочинскую около клиники «Мать и дитя». Нет и тротуара, приходится идти по дороге, что представляет  опасность попасть под машины. Движение машин по ул. Шереметъвская стало очень интенсивным. Неоднократное обращение в администрацию города по решению этой проблеме, пока ничего не дало, до несчастного случая…».","Дороги","Повреждение или отсутствие тротуаров","Управление благоустройства города"
"20","В остановке ""Рембыттехника""по ул. Халтурина  (по правой стороне движения с пос. Шлаковый) полностью отсутствует всякое покрытие под козырьком остановки для пассажиров, ожидающих общественный транспорт. Во время дождя ожидающие, скрываясь от непогоды под козырьком остановки, стоят словно цапли на одной ноге, т.к. вокруг вода. Защита сверху, плывун - снизу. Люди, когда мы будем уважать свой город!?","Остановки общественного транспорта","Некачественное содержание остановок общественного транспорта","Управление благоустройства города"
"21","Добрый день! Обращаются к Вам неравнодушные жители. Пишем, потому как терпеть это безобразие больше нельзя. Дело в том, что вокруг наших домов уже который год ведется активная застройка многоэтажными домами тремя строительными компаниями «Северная компания», «Зеленый сад», «Капитал». От наших домов ведет только одна дорога к выезду на улицу Кальная, но эта дорога находится в ужасном состоянии. Строительные автомашины, проезжая по ней, разбивают покрытие, разбрасывают строительный мусор. Не говоря уже о том шуме, который раздается со стройки и от проезжающих строительных машин. Возят многотонными грузовиками бетон и грунт. Единственная асфальтированная дорога превратилась в грунтовку. После дождя пройти по ней до магазина или остановки совершенно невозможно, грязь по колено. Наш район – молодой, здесь проживает большое количество семей с детьми. Постоянная стройка и строительные машины загрязняют детские площадки, окружающую среду. Наши дети дышат пылью от проводимых строительных работ. 

Просим разобраться со сложившейся ситуацией и взять ее на свой личный контроль.Обращение также дублируется главе региона, который ввел мораторий на застройку центральной части Рязани и призвал строительные компании к добросовестной работе, включающей организацию строительной деятельности не мешающей другим гражданам.

Фотографии прилагаются. Ответ из администрации города пришел ответ, что двор не входит в программу благоустройства, а ООО ""АЛЬФА"" будет оштрафован. Однако до сих пор каждый день многотонные машины и дальше разбивают единственную проезжую часть. Скоро наступит осень и помимо строительного мусора и выли добавиться еще грязь от машин. Примите меры.","Государственное управление и местное самоуправление","Поступление (прохождение) на муниципальную службу","Министерство по делам территорий и информационной политики Рязанской области"
"22","Участок внутридомовой территории от дома 22 к.1 до дома 23 к.1 по ул. Бирюзова не просто ""разбит"" а состояние такое,  что кажется его бомбили. 
Даже в самую жаркую погоду лужи, хотя скорее всего это моря"" не высыхают.","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"23","На протяжении, 500 метров, между такими объектами как МБОУ №63, МБОУ №67 и Черезовские пруды, стоят фонари с новыми светодиодными лампами, но ни один фонарь не работает, в итоге дети возвращаясь  с дополнительных занятий после школы, должны идти по полностью неосвещенному участку дороги. Просим устранить проблему с освещением на данном участке.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"24","С начала августа перекрыта дорога в связи с работами за домом по адресу ул. Бирюзова 27, в связи с чем образовываются пробки, большое скопление машин. На месте, где ведутся работы, ни разу не были замечены работники. В дождливую погоду образуется грязь, а из-за отсутствия асфальта, что собой представлял когда-то раскопанный участок дороги  - преодолеть данный участок просто невозможно.","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и пешеходов","Управление благоустройства города"
"25","На всём протяжении ул . Кальная не горят совсем или частично фонари","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"26","В выходные дни и внеучебное время школа закрыта на замок","Образование (школы, детские сады)","Иные вопросы/предложения в сфере образования","Управление образования и молодежной политики"
"27","Перед подъездами №№8,9 есть парковка и проезд. На том месте, где должен быть проезд, лежат бетонные плиты, между которыми большие выбоины. Парковка не оборудована совсем: машины ставят на обычную землю, в грязь и лужи.","Парковки","Создание и реорганизация бесплатных парковок","Управление благоустройства города"
"28","Проблемная тема: стертая дорожная разметка, так как из-за отсутствия асфальта не по чему чертить разметку. 
В черте города в частном микрорайоне Канищево полностью отсутствует дорожное покрытие. 
В частном секторе живет много пожилых людей, добираться до их домов по такой дороге проблематично и затратно по времени. Также в секторе много детей, школьников и студентов, которым ежедневно необходимо посещать образовательные учреждения. Более того в микрорайоне проживают люди с проблемами опорно-двигательного аппарата.
Помимо того, что существующие выбоины на дорогах ведут к частичным дефектам автомобилей, в дождливую погоду данные ямы на дорогах превращаются в большие лужи, а так как в секторе полностью отсутствует пешеходный тротуар, единственным способом добраться до общественного транспорта, больниц, детских садов, магазинов и тд  - проезжая часть. 
Просьба принять меры.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"29","Между домами 34, 38 и частным сектором на улице Кальной отсутствует твердое дорожное покрытие полностью. Машины, которые ездят по этому участку в грязную погоду, выносят грязь на пешеходные дорожки и твердое дорожное покрытие. Весной 2017 года на данном участке разровняли ямы, но за лето они появились снова, тем самым создавая аварийную ситуацию и угрозу для целостности автомобилей. Для некоторых людей этот участок - единственная возможность выбраться из дома/двора. Просьба проложить твердое дорожное покрытие в соответствии с нормами, ведь речь идет о нескольких сотнях метров.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"30","Здравствуйте! В нашем дворе много проблем 1. Разбитый асфальт, огромные ямы, нет ни одной детской площадки, окружает наш дом 3 контейнерных бака, которые постоянно полные, старые деревья и кусты, где спят наркоманы и валяются алкоголики. Помогите, пожалуйста! Спасибо","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"31","прошлой зимой ЖЭУ присылали своих сотрудников чистить снег на крыши, а они долбили лед ломами, соответственно повредили покрытие  и весной крыша потекла, а я живу на 5 (последнем) этаже, у меня намокли и отошли  обои на пол стены, и повредился оргалит под линолеумом, я написала заявление на ремонт, приходила комиссия, которая зафиксировала повреждения, но за лето ничего не сделали,  сейчас во время дождей крыша продолжает течь. я опять обратилась в ЖЭУ, они сказали что надо ждать когда придет время капитального ремонта. никакого решения проблемы не предложили. с  ужасом жду что будет с моей квартирой когда начнется снег. хотелось бы узнать на что тратятся наши деньги которые мы ЕЖЕМЕСЯЧНО платим за содержание жилья","Многоквартирные дома","Протечка кровли (крыши)","Управление энергетики и жилищно-коммунального хозяйства"
"32","Добрый день.

В начале этой недели была убрана мусорная площадка рядом с домами 14, 14к1, 14к2, 16к2 по улице Урицкого. Данная площадка была расположена на этом месте (между домами 14 и 16к2) более 40 лет. По информации от ЖЭУ-21 площадка была убрана по указанию директора этой организации Андронова по причине того, что рядом с ней было грязно (?!) и бесконтрольно сваливали мусор жильцы домов, которые не обслуживаются в ЖЭУ-21 (дома 16, 14к3), а также, по причине того, что жильцы домов сваливают строительный мусор после ремонта квартир.

В настоящее время на месте, с которого убрали эти контейнеры жильцы домов продолжают сваливать мусор, так как для пожилых людей дорога до места установки других контейнеров теперь занимает в 2,5 раза больше времени.

От лица жильцов нашего дома (14) просим вернуть контейнеры на старое место и организовать плановый вывоз мусора.","Государственное управление и местное самоуправление","Поступление (прохождение) на муниципальную службу","Министерство по делам территорий и информационной политики Рязанской области"
"33","В подъезде номер 4 (в угловом). Половина почтовых ящиков отсутствует. Отломаны дверцы и искривлены. Убедительная просьба помочь нам решить эту проблему!","Многоквартирные дома","Состояние мест общего пользования многоквартирного дома","Госжилинспекция"
"34","На улице Халтурина в сторону спортивной стоит знак 5.5 ""Дорога с односторонним движением"". На всей улице он стоит один, без знака 5.6 Конец дороги с односторонним движением, что не допустимо.
Так же знак 5.5 допускается не устанавливать на данном участке дороги согласно ГОСТ Р 52289-2004  п. 5.6.6.","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"35","- местами разрушаются стены, своими силами замазывали цементом;
- часто затапливает подвал из-за гнилых труб;
- водопроводная вода очень грязная (не пригодна для питья после кипячения);
- входные в подъезд двери в отвратительном состоянии;
- на голову периодически падают части крыши дома;
- разваливается козырёк над входом (цемент с него так же падает на голову);
- окна в коридорах треснуты\разбиты.","Многоквартирные дома","Некачественный текущий ремонт","Управление энергетики и жилищно-коммунального хозяйства"
"36","Территория в торце дома №26 по ул.Баженова со стороны Областного психоневрологического диспансера в рабочее время забита машинами. Огромное количество автомобилей, постоянно прибывающих-убывающих,  приводят к неблагоприятной экологической обстановке.
     Превышение уровней шума и выхлопных газов.
     ОБЛАСТНОЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР НЕ ИМЕЕТ СОБСТВЕННОЙ ПАРКОВКИ. Территория вокруг диспансера обнесена забором, хотя при вполне вразумительных затратах между зданием диспансера и корпусом медучилища  вполне поместится гостевая парковка.","Государственное управление и местное самоуправление","Развитие гражданского общества","Министерство по делам территорий и информационной политики Рязанской области"
"37","Все контейнеры для мусора переполнены, мусор уже на проезжей части. отвратительная антисанитария, которая повлечет за собой распространение микробов, запаха и различных вредителей","Дворовая территория","Неубранная контейнерная площадка","Префектура Московского района"
"38","Помогите решить проблему для растущего и уже достаточно населенного района!!!
Часть дорожного полотна в районе перинатального центра просто в ужаснейшем состоянии! Яма на яме, объехать зачастую невозможно. Понятно, что много домов в той стороне на стадии строительства и дорогу разбивает строительная техника. НО! Очень много людей уже живут в данном районе - это и частный сектор и новостройки. И это просто безобразие, что изо дня в день мы разбиваем свои автомобили на этом подобии дороги. Приезжали снимать и с телевидения, но проблему так и не решили. Засыпали гравием и эта полумера совсем не помогла. Очень просим произвести Ремонт на данном участке дороги. Большое количество людей будут вам безмерно благодарны!!! Спасибо!","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"41","С 25.09.2017г. не вывозят мусор с контейнерной площадки. Уже невозможно подойти к контейнерам.","Дворовая территория","Неубранная контейнерная площадка","Префектура Советского района"
"43","На Октябрьском городке 38 нет отопление,в квартире холодно,дома маленькие дети .Эта проблема с отопительной системой продолжается каждый год,а решить ее так и не получается,вызываем каждый год комиссию ,но толку нет. Платим за отопление 4000 тыщ руб,а сами  мерзнем и постоянно с обогревателем,чтоб иискупать детей целая проблема .Помогите найти причину и устранить ее,это не выносимо каждый год так мучиться.","Многоквартирные дома","Перебои/Отсутствие теплоснабжения","Управление энергетики и жилищно-коммунального хозяйства"
"44","Уже почти два месяца не работают светодиодные светильники по ул. Боголюбова от дома №84  до да №105. Заявку подавали неоднократно ,но увы ни каких изменений.Ходить в вечернее время суток по улице становиться страшно т.к бегают бездомные собаки , которые охраняю стройку на улице.Надеемся что Вы нам поможите решить нашу проблему.А то живем как в глухой деревне в темноте.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"45","С 2016 года не горит светодиодный светильник у дома №62 по ул.Верхняя. Заявки подавались в Дирекцию по благоустройству города неоднократно.Так же просили установить дополнительный светильник у дома № 59 т.к мимо дома сеть дорожка по которой люди приезжают за водой в родник.Дети пошли в школу и в вечернее время суток идут в полу темноте.Просим решить этот вопрос.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"46","Некоторое время назад на улице Мервинской , поменяли фонари на неисправные светодиодные на проезжей части. На пешеходной части улицы вообще отсутствует освещение.
В результате вечером абсолютно тёмная улица , что на проезжей части, что на пешеходной . Прошу обратить на это внимание.
Часть улицы после поворота на центр Единоборств","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"47","На улице Мервинской , после поворота на Центр Единоборств, абсолютно разрушенное дорожное покрытие . Множество ям и колдобин . 
Притом недавно до открытия центра, дорогу отремонтировали, именно до поворота,
дальше по какой то причине не стали.
Ситуация ухудшается , наличием многочисленных припаркованных машин.

Прошу обратить внимание","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"55","К дому не подъехать! Со всех сторон ямы и колдобины!","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"60","Постоянно с завода ЖБИ-2 стекает вода и грязь на тротуар и проезжую часть (на всем протяжении завода по улице Чкалова). Этим летом (2017 год) положили новый асфальт и тротуарную дорожку, но завод продолжает сливать грязь. Пешеходам не пройти, а по проезжей части текут ручьи, как весной!","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"61","На протяжении нескольких лет отсутствие горячего водоснабжения в селе которое раньше было. Глава поселения на эту проблему ни как не обращает внимание.","Многоквартирные дома","Перебои в электроснабжении","Министерство ТЭК и ЖКХ Рязанской области"
"70","Дети - наше будущее, для многих - это аксиома. К сожалению, с походом внука в сад столкнулась со следующей проблемой: дело в том, что к 150 детскому саду г. Рязани, нет тротуара. Если летом в сухую погоду можно пройти, то с сезоном дождей это стало серьезной проблемой. Тротуара нет, родители ведут детей по проезжей части, рискуя и жизнью, и одеждой (не все водители притормаживают при виде пешеходов). Пожалуйста, сделайте нормальный тротуар к садику, Вам будут благодарны сотни детей и родителей. Спасибо заранее.","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и  пешеходов","Главное управление архитектуры и градостроительства Рязанской области"
